,names,scores,logfoldchanges,pvals,pvals_adj
4468,TMEM181,0.50370866,0.04407432,0.6144661098412121,1.0
4469,AGBL4,0.50370866,0.3372604,0.6144661098412121,1.0
4470,MMGT1,0.5036883,0.026305646,0.6144804693376728,1.0
4471,DMPK,0.5036372,0.05713057,0.6145163687253221,1.0
4472,F12,0.5035248,0.057821415,0.6145953506288135,1.0
4473,IGSF6,0.5034635,0.46644253,0.6146384335507795,1.0
4474,HPCAL1,0.5032898,0.022530833,0.6147605090492854,1.0
4475,STK36,0.50317746,0.04686924,0.6148395047638063,1.0
4476,CNTNAP3B,0.5030651,0.10249386,0.614918504945078,1.0
4477,HNRNPDL,0.5026054,0.0071668387,0.6152417340023449,1.0
4478,TBC1D10A,0.50218654,0.09566069,0.6155362966155481,1.0
4479,FBF1,0.5016349,0.18162982,0.6159243516726103,1.0
4480,HGSNAT,0.50100154,0.011619823,0.6163700288054164,1.0
4481,AP001972.3,0.50095046,0.30760887,0.6164059766747658,1.0
4482,TLN1,0.5005827,0.042329174,0.6166648284830513,1.0
4483,ATP6V1E1,0.5005316,0.035826415,0.6167007838928975,1.0
4484,CBWD2,0.5005112,0.043351896,0.6167151663142298,1.0
4485,GNA13,0.50046015,0.018286651,0.6167511230110055,1.0
4486,RAB8B,0.50037843,0.01527268,0.6168086556376515,1.0
4487,GRK2,0.5001741,-0.0008558656,0.6169524974968679,1.0
4488,MZF1-AS1,0.50006175,0.21342915,0.6170316167856484,1.0
4489,LMOD3,0.5000413,0.549793,0.6170460025885763,1.0
4490,PLCD4,0.4997655,0.30904984,0.61724022531114,1.0
4491,AL161665.1,0.49931598,0.39646924,0.6175567937783588,1.0
4492,AC136475.1,0.49889714,0.669257,0.6178518419878136,1.0
4493,SERPING1,0.49809012,0.39232093,0.6184205233419595,1.0
4494,FGFR1OP2,0.49765086,0.034891725,0.6187301548746127,1.0
4495,ZNF611,0.49761,0.009523642,0.6187589612500031,1.0
4496,AC008532.1,0.49759978,0.45298198,0.6187661629353736,1.0
4497,USP3-AS1,0.49733418,0.2978448,0.6189534196028088,1.0
4498,TNFRSF19,0.4972831,0.70002306,0.6189894333366891,1.0
4499,SDCBP2,0.49714008,0.20993415,0.619090276657877,1.0
4500,AC005332.6,0.49707878,0.07784973,0.6191334974191509,1.0
4501,AL583722.2,0.49703792,0.8560483,0.619162311991593,1.0
4502,RSPRY1,0.49685404,0.03296149,0.6192919848093074,1.0
4503,NRG2,0.49640456,0.060865868,0.6196090126786071,1.0
4504,DENND6A,0.4963841,0.020183511,0.6196234247175945,1.0
4505,TMTC1,0.4962309,0.24943714,0.6197315196686333,1.0
4506,ZNF146,0.49617982,0.030672852,0.6197675531456869,1.0
4507,MRPL19,0.49607766,0.017911958,0.6198396228394298,1.0
4508,AC005332.5,0.49601635,0.6305786,0.6198828664088522,1.0
4509,AC011462.5,0.49589378,0.2334174,0.6199693574917718,1.0
4510,SDR42E2,0.4957814,1.0417917,0.6200486456034355,1.0
4511,PIK3R4,0.49565881,0.045126792,0.6201351467632326,1.0
4512,IGSF11,0.49553624,1.0664206,0.6202216531791007,1.0
4513,CPEB2-DT,0.4953319,1.1434537,0.6203658422163759,1.0
4514,LAMA1,0.4952502,0.09045784,0.6204235219175614,1.0
4515,AL022345.4,0.4951174,0.37832686,0.620517256411077,1.0
4516,MYCBP2-AS1,0.49495393,0.26113835,0.62063263040256,1.0
4517,GATC,0.49491307,0.05045037,0.6206614753589743,1.0
4518,TNNI3,0.49490288,0.05721811,0.6206686866892268,1.0
4519,ZNF667-AS1,0.49470878,0.028015688,0.6208057088904886,1.0
4520,AC009283.1,0.49451467,0.6225444,0.6209427442493614,1.0
4521,ZNF503,0.49438187,0.07938428,0.6210365128634859,1.0
4522,AC107068.1,0.4940856,0.25542063,0.6212457111863935,1.0
4523,ARHGEF25,0.49375874,0.17117515,0.6214765862536338,1.0
4524,PDE3B,0.4937383,-0.013950497,0.621491017182952,1.0
4525,PAQR8,0.49352378,0.26832324,0.6216425507289827,1.0
4526,CD55,0.49299255,0.46974838,0.6220178456937169,1.0
4527,SLC30A4,0.4925022,0.10832015,0.6223643590617056,1.0
4528,COPZ1,0.4923694,0.019430064,0.6224582208375656,1.0
4529,MAP4K3,0.4923592,0.008095315,0.622465441228407,1.0
4530,FAM193A,0.49221617,0.020152943,0.6225665305131736,1.0
4531,ALMS1,0.49210382,0.04507594,0.6226459628008674,1.0
4532,FANCD2,0.49193013,0.7362747,0.6227687304306356,1.0
4533,U47924.2,0.49187908,0.4148511,0.6228048405532608,1.0
4534,CEP112,0.4917054,0.035672106,0.6229276217559552,1.0
4535,ARID5A,0.4913887,0.4964981,0.6231515438806932,1.0
4536,RBM18,0.49101073,0.02939641,0.6234188513881467,1.0
4537,AC002456.1,0.49073493,0.4590075,0.6236139449373744,1.0
4538,MFSD14C,0.49008113,0.027602036,0.6240764943747694,1.0
4539,COA6-AS1,0.49008113,0.30515975,0.6240764943747694,1.0
4540,AC007383.2,0.48981553,0.29866925,0.624264447433452,1.0
4541,DLEU1,0.48950905,0.30427006,0.6244813467329986,1.0
4542,NKAIN1,0.48930475,0.02344896,0.6246259643454798,1.0
4543,ADM,0.48910043,0.5298784,0.6247705964161654,1.0
4544,ZNF570,0.48899826,0.029905183,0.6248429178718997,1.0
4545,DEGS2,0.4887531,0.18103856,0.62501650410491,1.0
4546,PARP3,0.4886203,0.37074062,0.6251105386671683,1.0
4547,MIR34AHG,0.48856923,0.30686906,0.6251467074313839,1.0
4548,PAK6,0.48827296,0.026368646,0.6253565040609173,1.0
4549,GOLPH3,0.48778263,-0.001222953,0.6257038203375732,1.0
4550,RECQL5,0.48748636,0.21657442,0.6259136975196384,1.0
4551,GFY,0.48747617,0.29176158,0.6259209352045759,1.0
4552,LINC00115,0.4869858,0.2150426,0.6262683864570675,1.0
4553,RAB3B,0.4865874,-0.013283811,0.6265507517020167,1.0
4554,EPCAM-DT,0.48628095,0.075747475,0.6267679929905889,1.0
4555,AC005609.4,0.48603576,0.6233304,0.6269418093340999,1.0
4556,KTI12,0.48563737,0.037633624,0.6272243050672288,1.0
4557,WIZ,0.48557606,0.01909804,0.6272677708018429,1.0
4558,SDHC,0.48537174,0.024168076,0.6274126659263729,1.0
4559,XPOT,0.48523894,0.00029225144,0.6275068554632542,1.0
4560,PIWIL2,0.48510614,0.8252815,0.6276010510699822,1.0
4561,CNIH4,0.4850755,0.03245906,0.6276227893795445,1.0
4562,DPH1,0.48484054,0.29871714,0.6277894604878962,1.0
4563,AC145124.1,0.48417655,0.07279057,0.6282605901660425,1.0
4564,PLEC,0.48411524,0.14748122,0.628304086699179,1.0
4565,RANBP10,0.483962,0.053116053,0.6284128336785307,1.0
4566,SNTA1,0.48392114,0.15354885,0.6284418342351737,1.0
4567,LARP1,0.48381898,0.020979207,0.6285143381356115,1.0
4568,DPP9,0.4837577,0.0829734,0.6285578421960295,1.0
4569,GRM3,0.48361468,0.05431057,0.6286593566866465,1.0
4570,MTCH1,0.48318562,0.035400234,0.6289639422813956,1.0
4571,AL133243.2,0.48302218,0.12908487,0.6290799915023798,1.0
4572,HGFAC,0.48286894,1.1715087,0.6291887959684028,1.0
4573,DNAJC12,0.48275658,0.03137875,0.629268591027069,1.0
4574,NFYC-AS1,0.48232752,0.15185833,0.6295733028806665,1.0
4575,TTLL4,0.48194954,0.11157454,0.6298417917652055,1.0
4576,AL662797.1,0.48193932,0.15713933,0.6298490489005386,1.0
4577,ZNF436,0.48176566,0.031410445,0.6299724256672643,1.0
4578,NPHP4,0.481592,0.32317877,0.6300958127568098,1.0
4579,GRB14,0.48143876,0.022128452,0.6302046922884774,1.0
4580,STAM-AS1,0.4813366,0.19570275,0.6302772831056043,1.0
4581,NPTN-IT1,0.48025376,0.26018363,0.6310469651033817,1.0
4582,STARD5,0.48025376,0.23973976,0.6310469651033817,1.0
4583,PCOLCE,0.48011073,0.39123988,0.631148651162954,1.0
4584,ACTR1B,0.48002902,0.008747462,0.63120676061779,1.0
4585,AC107294.2,0.47999838,0.106465094,0.6312285522511007,1.0
4586,AC079922.2,0.47993708,0.34405437,0.6312721364794016,1.0
4587,ZBED3-AS1,0.4796204,0.14231355,0.63149734208127,1.0
4588,DRD4,0.47940588,0.28897697,0.6316499201516732,1.0
4589,TIPARP,0.47920156,0.02738189,0.6317952471893905,1.0
4590,AC006387.1,0.47913006,0.22730264,0.6318461150144594,1.0
4591,STIL,0.47906876,0.5474054,0.6318897173945629,1.0
4592,HIF1AN,0.4790483,0.019138752,0.6319042518057918,1.0
4593,SRC,0.4787725,0.046496715,0.6321004802787924,1.0
4594,C20orf204,0.4784354,0.34083894,0.6323403502707323,1.0
4595,AL049543.1,0.47828215,0.74048156,0.6324493948769352,1.0
4596,FAM122C,0.4781902,0.33443543,0.6325148254769619,1.0
4597,ELOA,0.47815958,0.020802168,0.6325366363162603,1.0
4598,DNAJC16,0.47787353,0.06488926,0.6327402195603015,1.0
4599,GPR3,0.4778429,0.62248504,0.6327620337015607,1.0
4600,TNKS1BP1,0.47737297,0.031334113,0.6330965571942755,1.0
