,names,scores,logfoldchanges,pvals,pvals_adj
42,G3BP2,26.19009,0.8593783,3.4462945545256285e-151,6.5078864611042095e-149
43,FNBP1L,26.162132,0.68643117,7.17215087898444e-151,1.3388014974104288e-148
44,DST,25.950409,1.1822591,1.799077135995538e-148,3.2828104144457904e-146
45,NKTR,25.908775,0.9840651,5.3037947531740955e-148,9.465233713356847e-146
46,ANK3,25.885094,0.7431716,9.802305283684842e-148,1.7303199761634984e-145
47,CTDSPL2,25.71309,1.3351209,8.34442852336366e-146,1.4416331831853813e-143
48,RERE,25.584398,0.86410624,2.2756383570964197e-144,3.890143886236406e-142
49,AUXG01000058.1,25.551111,1.1848152,5.3366566539291e-144,9.027844172896727e-142
50,SETD2,25.508173,1.2454526,1.5998465994165181e-143,2.651174364747373e-141
51,ARHGAP21,25.425865,1.0245008,1.3056022243845248e-142,2.120298012400468e-140
52,MT-ND5,25.362856,0.50384146,6.483165114175537e-142,1.042441598556542e-139
53,ZNF638,25.336195,1.0565577,1.2757396585215352e-141,2.0114574810087117e-139
54,PHF3,25.284063,1.1436247,4.7829684604690105e-141,7.397657885525403e-139
55,CAPRIN1,25.197273,0.86476386,4.29099618048992e-140,6.574129997278897e-138
56,STARD4-AS1,24.942709,0.8943842,2.562028637283078e-137,3.888536922381045e-135
57,HP1BP3,24.824959,0.78593016,4.821316876503554e-136,7.118016915856156e-134
58,LINC00632,24.72135,0.74190307,6.304972261521123e-135,9.224572029468741e-133
59,RTN3,24.379168,0.49368554,2.844955668390767e-131,4.0528140398829875e-129
60,CLTC,24.36546,0.87982804,3.975740061664822e-131,5.614436400124931e-129
61,PCM1,24.325369,0.80944103,1.0568464433663226e-130,1.4669389948947931e-128
62,NSF,24.30905,1.1863419,1.5726804457985766e-130,2.1644347830312614e-128
63,SF3B1,24.106462,0.7410636,2.1385638103178954e-128,2.8702707669060015e-126
64,SH3GLB1,23.953365,1.0125874,8.523496861456913e-127,1.1163031373391956e-124
65,PANK3,23.864868,1.0787512,7.09792730481536e-126,9.148439637317574e-124
66,ABI2,23.863054,0.822389,7.412516419066795e-126,9.478682413042894e-124
67,ADNP,23.701649,1.0375524,3.467212900670081e-124,4.2336494366076774e-122
68,CLASP2,23.61206,0.8654309,2.8976935620442467e-123,3.511831600567057e-121
69,SMARCA5,23.609007,0.8523681,3.1147245538314046e-123,3.746898278090519e-121
70,CMIP,23.556145,0.96485275,1.0859312274806205e-122,1.2967296422268588e-120
71,XRCC5,23.538963,0.51019526,1.6286053050992427e-122,1.9305511061906352e-120
72,TULP4,23.395962,0.9617611,4.6977738512938705e-121,5.52839473514583e-119
73,OGA,23.353533,0.95331913,1.2688409688985885e-120,1.4614168322633387e-118
74,PTBP2,23.317038,1.0093579,2.978111328682634e-120,3.33548468812455e-118
75,PPIP5K2,23.284794,1.054038,6.3215513258998e-120,7.031643392644709e-118
