,names,scores,logfoldchanges,pvals,pvals_adj
7047,SLC28A2,-0.08561996,-0.48720655,0.9317685265303065,0.9998513817660397
7048,AC004160.1,-0.08561996,-0.07288329,0.9317685265303065,0.9998513817660397
7049,AC125616.1,-0.08566136,-0.44938174,0.9317356211467868,0.9998513817660397
7050,AL158212.2,-0.085723445,-0.39480793,0.9316862632902866,0.9998513817660397
7051,SMPDL3A,-0.085951105,-0.06574035,0.9315052867321284,0.9998513817660397
7052,AC025171.1,-0.086054586,-0.010063978,0.9314230258303269,0.9998513817660397
7053,MICALL1,-0.08661338,-0.11883485,0.9309788296408654,0.9998513817660397
7054,VPS26C,-0.08674791,-0.083631724,0.930871896726703,0.9998513817660397
7055,AC090983.1,-0.086758256,-0.34213495,0.9308636711695839,0.9998513817660397
7056,NR6A1,-0.08694452,-0.21179348,0.9307156124050783,0.9998513817660397
7057,NUP62,-0.087016955,-0.022317389,0.9306580346439209,0.9998513817660397
7058,ARSK,-0.08711009,-0.09749713,0.9305840066271784,0.9998513817660397
7059,ANKAR,-0.08720322,-0.17463729,0.9305099792110076,0.9998513817660397
7060,AZIN1-AS1,-0.087461926,-0.09857036,0.9303043506558945,0.9998513817660397
7061,NEIL3,-0.087503314,-0.58353376,0.930271450518484,0.9998513817660397
7062,ANKRD34B,-0.08762749,-0.047045954,0.930172750821454,0.9998513817660397
7063,ACTRT3,-0.08779306,-1.4046489,0.9300411528963044,0.9998513817660397
7064,AC113410.5,-0.087834455,-1.3053943,0.9300082537137633,0.9998513817660397
7065,RFC5,-0.08807246,-0.11079693,0.9298190857370582,0.9998513817660397
7066,TCTE1,-0.08817594,-0.6372216,0.9297368400268381,0.9998513817660397
7067,AL355297.4,-0.0884036,-0.2041857,0.9295559021071629,0.9998513817660397
7068,OIP5,-0.08870369,-0.55098593,0.9293173985965182,0.9998513817660397
7069,ARHGAP15,-0.08880717,-0.7026902,0.9292351574776261,0.9998513817660397
7070,AC096642.1,-0.08883822,-0.25643453,0.9292104852892955,0.9998513817660397
7071,AL365226.1,-0.08886926,-0.64717597,0.9291858131690086,0.9998513817660397
7072,TELO2,-0.08886926,-0.11591341,0.9291858131690086,0.9998513817660397
7073,EFEMP2,-0.08895204,-0.79210776,0.929120021181081,0.9998513817660397
7074,CDKN2C,-0.08895204,-0.9024579,0.929120021181081,0.9998513817660397
7075,RPF2,-0.089138314,-0.032993156,0.9289719909803092,0.9998513817660397
7076,AC092821.3,-0.08916935,-0.17453729,0.9289473195189939,0.9998513817660397
7077,LINC00963,-0.08931423,-0.07900989,0.9288321869362524,0.9998513817660397
7078,AC023908.3,-0.089386664,-0.15309967,0.9287746212033755,0.9998513817660397
7079,Z93241.1,-0.08944875,-0.1472968,0.9287252794432742,0.9998513817660397
7080,AL512662.2,-0.08977989,-0.46192637,0.9284621280220702,0.9998513817660397
7081,AL157786.1,-0.08988337,-0.5196553,0.9283798948059786,0.9998513817660397
7082,ITGA2,-0.09006964,-0.5832398,0.9282318769450576,0.9998513817660397
7083,PIF1,-0.0902559,-0.5545982,0.9280838615673893,0.9998513817660397
7084,AC024941.2,-0.0902766,-0.7537082,0.9280674155678236,0.9998513817660397
7085,AC105020.6,-0.0902973,-0.24027844,0.9280509695989851,0.9998513817660397
7086,CHKB-DT,-0.090338685,-0.049852796,0.9280180777535181,0.9998513817660397
7087,TNS3,-0.09035938,-0.20944595,0.9280016318769034,0.9998513817660397
7088,AC019205.1,-0.09057669,-0.06780457,0.9278289520306346,0.9998513817660397
7089,PCOLCE2,-0.09062843,-0.1914638,0.9277878382821854,0.9998513817660397
7090,BMP5,-0.09069052,-0.51783776,0.927738502038536,0.9998513817660397
7091,AP003025.1,-0.09072156,-0.26305637,0.9277138340208759,0.9998513817660397
7092,SLC12A9,-0.091032006,-0.12607382,0.9274671576692577,0.9998513817660397
7093,S1PR1,-0.09106305,-0.36891362,0.9274424904171129,0.9998513817660397
7094,FOXB1,-0.09129071,-0.39092764,0.9272615993669929,0.9998513817660397
7095,ST3GAL6-AS1,-0.09145628,-0.122387305,0.9271300446003934,0.9998513817660397
7096,GRIN2A,-0.09150802,-0.1535014,0.9270889341441853,0.9998513817660397
7097,AC136297.1,-0.09178742,-0.25363386,0.926866941046867,0.9998513817660397
7098,ATP2A1,-0.09180811,-0.60342747,0.9268504973399914,0.9998513817660397
7099,WARS2-AS1,-0.09180811,-0.33552435,0.9268504973399914,0.9998513817660397
7100,ZDHHC14,-0.09202542,-0.08652793,0.9266778403055037,0.9998513817660397
7101,AC079148.1,-0.092222035,-0.3702572,0.9265216297730576,0.9998513817660397
7102,CINP,-0.09253248,-0.06515236,0.9262749873330774,0.9998513817660397
7103,ECT2L,-0.092677355,-0.38012058,0.9261598899509456,0.9998513817660397
7104,JCAD,-0.09284292,-0.39747712,0.9260283519780433,0.9998513817660397
7105,LRRC8C,-0.09286362,-0.2043391,0.9260119098735276,0.9998513817660397
7106,AL391684.1,-0.092936054,-0.22898303,0.9259543627566207,0.9998513817660397
7107,CA13,-0.09321545,-0.600228,0.925732398937311,0.9998513817660397
7108,DNAH10,-0.093298234,-0.5855455,0.9256666329891308,0.9998513817660397
7109,AL031775.1,-0.0940433,-0.3857978,0.9250747623669444,0.9998513817660397
7110,AL158832.2,-0.09418817,-0.37836832,0.9249596812182151,0.9998513817660397
7111,SCLY,-0.09439513,-0.093897976,0.9247952823017723,0.9998513817660397
7112,SRXN1,-0.09439513,-0.12671928,0.9247952823017723,0.9998513817660397
7113,OARD1,-0.09443653,-0.040877286,0.9247624029036634,0.9998513817660397
7114,TMIE,-0.094560705,-0.08945762,0.924663765480701,0.9998513817660397
7115,AC023355.1,-0.094581395,-0.52484083,0.9246473260227711,0.9998513817660397
7116,GDPGP1,-0.09461244,-0.39033607,0.9246226668962155,0.9998513817660397
7117,COMMD8,-0.09471592,-0.08328005,0.9245404703309199,0.9998513817660397
7118,AC024257.3,-0.09499532,-0.4277857,0.9243185436311978,0.9998513817660397
7119,C6orf118,-0.09501602,-0.2806517,0.9243021048505077,0.9998513817660397
7120,PTPRR,-0.09522298,-0.26361302,0.9241377188227016,0.9998513817660397
7121,JSRP1,-0.09536785,-1.3035527,0.9240226505303866,0.9998513817660397
7122,AC005041.4,-0.09546098,-0.17065592,0.9239486788961163,0.9998513817660397
7123,AC006480.2,-0.09555411,-0.121378295,0.9238747079194906,0.9998513817660397
7124,FGF23,-0.0959163,-0.3281302,0.9235870492739362,0.9998513817660397
7125,COL5A1,-0.096226744,-0.61845976,0.9233404926726891,0.9998513817660397
7126,RNF220,-0.09631988,-0.06286761,0.9232665271274652,0.9998513817660397
7127,LINC01508,-0.09659927,-0.9023527,0.9230446344753769,0.9998513817660397
7128,ART5,-0.09668206,-1.046979,0.9229788896537123,0.9998513817660397
7129,FARS2,-0.09675449,-0.13710715,0.9229213633663934,0.9998513817660397
7130,PKP4,-0.09678554,-0.13854118,0.9228967093666602,0.9998513817660397
7131,AC021269.3,-0.096837275,-0.17401142,0.9228556195317301,0.9998513817660397
7132,IGLL1,-0.097064935,-0.30940667,0.9226748267053095,0.9998513817660397
7133,CCDC8,-0.09712702,-0.28071842,0.9226255202637944,0.9998513817660397
7134,FILIP1L,-0.09714772,-0.25556287,0.9226090848493557,0.9998513817660397
7135,C2orf16,-0.0972305,-0.49287555,0.9225433435221176,0.9998513817660397
7136,CPEB1-AS1,-0.09733398,-0.4443729,0.9224611676072568,0.9998513817660397
7137,PRR5L,-0.09752025,-0.5094485,0.9223132530468655,0.9998513817660397
7138,AC111182.1,-0.09760304,-0.69487786,0.9222475141043716,0.9998513817660397
7139,AC245297.3,-0.09766512,-0.04538436,0.9221982102460573,0.9998513817660397
7140,NFATC2IP,-0.09773756,-0.04176301,0.922140689455904,0.9998513817660397
7141,AC010996.1,-0.09791348,-0.66835254,0.9220009978043981,0.9998513817660397
7142,STAT4,-0.098120436,-0.4012179,0.9218366577658043,0.9998513817660397
7143,FBLN5,-0.09815148,-0.2672418,0.9218120070476821,0.9998513817660397
7144,NRG2,-0.09816183,-0.11167141,0.9218037901583317,0.9998513817660397
7145,CX3CL1,-0.09818253,-0.12777267,0.9217873564046715,0.9998513817660397
7146,AC073389.2,-0.09845158,-0.14912057,0.9215737206484218,0.9998513817660397
7147,ACVR2B-AS1,-0.09875167,-0.49311903,0.9213354412891678,0.9998513817660397
7148,AL355999.1,-0.09890689,-0.15730518,0.9212121961141507,0.9998513817660397
7149,AC010542.4,-0.09900002,-0.5486695,0.9211382499171601,0.9998513817660397
7150,POLH-AS1,-0.0991035,-0.6360772,0.9210560882757182,0.9998513817660397
7151,AC020917.3,-0.09913455,-0.27279565,0.9210314399475507,0.9998513817660397
7152,ERICH2,-0.0991449,-0.510813,0.9210232238550173,0.9998513817660397
7153,AC016588.2,-0.099175945,-0.10524014,0.920998575627997,0.9998513817660397
7154,IQCN,-0.09945534,-0.38836244,0.9207767450025891,0.9998513817660397
7155,TNKS1BP1,-0.09949673,-0.11864856,0.9207438817300594,0.9998513817660397
7156,GADD45A,-0.099527776,-0.054127607,0.9207192343644783,0.9998513817660397
7157,AP001267.3,-0.09957952,-0.21217057,0.920678155591087,0.9998513817660397
7158,BX324167.1,-0.099651955,-0.3416473,0.9206206456639335,0.9998513817660397
7159,TTC38,-0.099755436,-0.13245375,0.9205384893453411,0.9998513817660397
7160,LRCH4,-0.09978648,-0.07071575,0.9205138426150986,0.9998513817660397
7161,AL031055.1,-0.09982787,-0.77784103,0.92048098042688,0.9998513817660397
7162,MBNL1-AS1,-0.09985892,-0.33451432,0.920456333874825,0.9998513817660397
7163,MPP6,-0.099900305,-0.08751583,0.9204234719242749,0.9998513817660397
7164,AL512770.1,-0.10004518,-0.39803663,0.9203084561678276,0.9998513817660397
7165,ERAS,-0.10019005,-0.39698622,0.9201934420783894,0.9998513817660397
7166,GOLT1A,-0.10031423,-0.08205176,0.9200948599017711,0.9998513817660397
7167,MYH3,-0.10031423,-0.46569857,0.9200948599017711,0.9998513817660397
7168,TMEM253,-0.10043841,-0.4570204,0.9199962789531547,0.9998513817660397
7169,AC005072.1,-0.10054189,-0.50782984,0.9199141291017836,0.9998513817660397
7170,SLC8B1,-0.10062467,-0.28813255,0.9198484098360252,0.9998513817660397
7171,STEAP2,-0.100728154,-0.10055338,0.9197662615237319,0.9998513817660397
7172,ITPR1,-0.10088337,-0.3664047,0.9196430406610556,0.9998513817660397
7173,ALG1L,-0.100945465,-0.19070585,0.9195937528560886,0.9998513817660397
7174,STIL,-0.1009972,-0.5005438,0.9195526799212497,0.9998513817660397
7175,CCM2L,-0.101193815,-0.3123334,0.9193966047272276,0.9998513817660397
7176,SLC32A1,-0.10139043,-0.18462585,0.9192405326384563,0.9998513817660397
7177,AP006545.3,-0.10144217,-0.41395757,0.919199461553005,0.9998513817660397
7178,HIC1,-0.10169052,-0.2745133,0.9190023233454554,0.9998513817660397
7179,EVA1C,-0.10175262,-0.34857398,0.918953039571021,0.9998513817660397
7180,RASGEF1A,-0.10182505,-0.10279455,0.918895542227715,0.9998513817660397
7181,IL13RA1,-0.10257011,-0.5887525,0.9183041656504644,0.9998513817660397
7182,FYCO1,-0.10267359,-1.0242791,0.9182220335815644,0.9998513817660397
